cities,Atlanta,Boston,Boulder,Cheyenne,Chicago,Cleveland,Disneyland,Key West,Miami,New Orleans,New York,Portland,San Francisco,Seattle,Yakima
Atlanta,0,-1,-1,-1,-1,-1,-1,-1,663 65 1,487 50 0,-1,-1,-1,-1,-1
Boston,-1,0,-1,-1,982 45 0,640 80 0,-1,-1,-1,-1,215 75 1,-1,-1,-1,-1
Boulder,-1,-1,0,-1,1130 80 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cheyenne,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1162 60 0,-1,-1,1095 80 0
Chicago,-1,982 30 1,1130 70 0,-1,0,344 55 0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cleveland,-1,640 55 0,-1,-1,344 35 0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Disneyland,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,989 75 0,408 60 1,-1,-1
Key West,-1,-1,-1,-1,-1,-1,-1,0,159 40 0,-1,-1,-1,-1,-1,-1
Miami,663,-1,-1,-1,-1,-1,-1,159 60 1,0,864 50 0,-1,-1,-1,-1,-1
New Orleans,487 70 0,-1,-1,-1,-1,-1,-1,-1,864 65 0,0,-1,-1,-1,-1,-1
New York,-1,215 45 1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
Portland,-1,-1,-1,1162 80 0,-1,-1,989 75 1,-1,-1,-1,-1,0,635 55 0,173 45 0,185 65 0
San Francisco,-1,-1,-1,-1,-1,-1,408 80 1,-1,-1,-1,-1,635 55 0,0,-1,-1
Seattle,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,173 40 0,-1,0,142 45 1
Yakima,-1,-1,-1,1095 50 0,-1,-1,-1,-1,-1,-1,-1,185 70 0,-1,142 55 0,0
